Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
a15a07e365e2ac010d3a70f29d7f63f5,5242880,1480,1399597756.0798104,5.740849156,891.8541248638932 KB/s
b593831d1fe8b9b4b13e3c261e6987ee,5242880,1480,1399597772.3762352,5.706563582,897.2124688402359 KB/s
43c2b585e255cb4fa56ce4f90626e1e3,5242880,1480,1399597788.557398,5.714196386,896.0140068941621 KB/s
0ccbd5e9549eea9c973930a8a1d74509,5242880,1480,1399597804.507797,5.831609196,877.973785265291 KB/s
8f9cc3905fc3092ae331e57cdafd55f5,5242880,1480,1399597820.6460268,5.521079132,927.3549386975169 KB/s
dfd80298739356ce015fa0514d3138e8,10485760,1480,1399597908.9852567,11.862640107,863.2142514344257 KB/s
71034d4f11b6bbdff4c06a947f36fc19,10485760,1480,1399597938.524514,11.899603454,860.5328773840669 KB/s
3cfcb4a4cb626490a99dba2acf03cbe6,10485760,1480,1399597968.0255709,11.631039831,880.4027970661327 KB/s
978174f607f9b61a856837a04a81849f,10485760,1480,1399597994.514361,11.795929064,868.096098615196 KB/s
a817b5f1eebb2d3ee2ba31669f87bab5,10485760,1480,1399598020.9960952,11.893719464,860.9585950799083 KB/s
e4cc9ef608f93740047231b37bdab4f8,15728640,1480,1399598185.8077905,17.522435922,876.5904505728573 KB/s
f90da10592d5013bb95cd48588bdc794,15728640,1480,1399598226.2331297,17.361357872,884.723425048006 KB/s
add0944b3021f52f7dc2a179519bd249,15728640,1480,1399598266.6825085,17.760695887,864.8309783426224 KB/s
d03750bf61ad20bbc795a6c2e02e638e,15728640,1480,1399598306.9515822,17.328561158,886.3978872769143 KB/s
bf2e2da9a712a4a17557ef2c1e360fd6,15728640,1480,1399598347.2661426,17.433284556,881.0732108834626 KB/s
003bb45527cf63bbc93613a11982f582,20971520,1480,1399598600.683696,23.279547482,879.7421863906659 KB/s
8d4c6ba661c89f014a777516973c7f02,20971520,1480,1399598656.532142,23.059150443,888.1506736609655 KB/s
088d44fbff64355b6307ae8e7b5c09ab,20971520,1480,1399598712.3808184,23.673851977,865.0894674807065 KB/s
fa73a87b5cf4c0d07b92d617440d1b4e,20971520,1480,1399598768.2612839,23.943274206,855.3550288818841 KB/s
3bc67baaa157a3a009b5298ebf595eb3,20971520,1480,1399598824.1069307,23.757176112,862.0553176627476 KB/s
c10192f595fbc7b23e17efda6db0cc86,26214400,1480,1399599152.890117,30.017798077,852.8273770891619 KB/s
c7402609c859b39a5d54272e457e6203,26214400,1480,1399599219.8366299,29.896722507,856.281152357287 KB/s
1aea6c3f6347ace44f9f5c5c77ece565,26214400,1480,1399599288.851971,29.603737638,864.7556708224331 KB/s
d7afdb3ae92092b7e21821924371b089,26214400,1480,1399599357.8725433,28.918346145,885.2511783225285 KB/s
c832d58781f301d3df3445f9dcdefb44,26214400,1480,1399599426.8979716,28.835315777,887.8002307302424 KB/s
e8c1d5d122054526dacd76ca97b9199d,31457280,1480,1399599840.5000265,34.772472014,883.4574656536238 KB/s
db4a6f6244a191c4b70de0b2e77b0846,31457280,1480,1399599921.0521991,34.823769778,882.1560731603341 KB/s
5b00fe2485698449d46bcb451d856366,31457280,1480,1399600002.6523733,35.755461618,859.1694418101135 KB/s
b12c1e47a1806f3a15e1c16196138d94,31457280,1480,1399600082.789081,34.551925123,889.096624591571 KB/s
26a22429acbd121befa31590a1cc84ec,31457280,1480,1399600163.1537569,35.74751056,859.3605406015159 KB/s
e3fb56182258e58d47b8a8db04fabcf8,36700160,1480,1399600648.5656755,41.225657956,869.3615039025431 KB/s
4d0f4fc2719975408be83cf8fa3f1d44,36700160,1480,1399600743.9597058,42.111651611,851.0708706242768 KB/s
77d11615b70e6570fc3d3fd543ab1ad7,36700160,1480,1399600839.3328512,41.977367835,853.7934093646822 KB/s
82398ae85ea11924595b860607fba07b,36700160,1480,1399600934.7051687,42.636918424,840.5860771548146 KB/s
58846e420097728b3c4629bf6a91865b,36700160,1480,1399601030.0838356,41.027412528,873.5622792575637 KB/s
94d8d2fbf35f44f9118046a6047445a4,41943040,1480,1399601592.8579023,48.138535402,850.877569455473 KB/s
