FromWho,Token,StartTime,ElapsedTime
client,c7c98f96122a69d6e4a40a4940c95ede,1399602967.6482549,0.01587129
gateway,c7c98f96122a69d6e4a40a4940c95ede,1399602967.672548,6.595307562
client,9a17572f274bbf588510724346e52336,1399602977.3721495,0.015221488
gateway,9a17572f274bbf588510724346e52336,1399602977.393476,6.597004643
client,9e9b779c5d4d56e0391843b2d4d99d27,1399602987.1159852,0.014643499
gateway,9e9b779c5d4d56e0391843b2d4d99d27,1399602987.1363492,6.597976176
client,809b863043bf327877380b8aff0b9132,1399602996.8382804,0.014698069
gateway,809b863043bf327877380b8aff0b9132,1399602996.8578768,6.597576488
client,28fec5be278d741471866b7078f5af8a,1399603006.5621684,0.012864447
gateway,28fec5be278d741471866b7078f5af8a,1399603006.5834804,6.606966039
direct-client,44f07212ff39bcef56be33fdd6c2ce16,1399603016.2800336,6.583129005
direct-client,b113d98fa5fd5d5acf974fa70ea7d8e9,1399603022.981427,6.581063627
direct-client,a46c47312d24da8703b2f992f0ccf79e,1399603032.627113,6.583906076
direct-client,8eb99592d9b64812b663bafd3d6a9ee6,1399603042.2709296,6.583390472
direct-client,4e2d8440f95ca3db2f1defb3ac183bc1,1399603048.9727585,6.552009447
client,93fb01f9f1ebd50fc95360e7f5ffa184,1399603055.7221453,0.032443263
gateway,93fb01f9f1ebd50fc95360e7f5ffa184,1399603055.7595754,13.190703638
client,ddcd8a97d7b4e31328cda30ed614d16c,1399603072.0592225,0.02861589
gateway,ddcd8a97d7b4e31328cda30ed614d16c,1399603072.092934,13.201447086
client,10d38d6cef0ea47ba487b03d212b72d0,1399603088.3748443,0.030096081
gateway,10d38d6cef0ea47ba487b03d212b72d0,1399603088.4132378,13.194661996
client,04b3ba4d1376f12743f77d13cc2caeba,1399603104.696121,0.029971765
gateway,04b3ba4d1376f12743f77d13cc2caeba,1399603104.7334046,13.19616449
client,04e18cd65651d43d194f1bd0dd9ae497,1399603121.014824,0.029820137
gateway,04e18cd65651d43d194f1bd0dd9ae497,1399603121.053446,13.199724052
direct-client,37ef578ebc6922b1fa99df402ab89103,1399603137.3710623,13.141565698
direct-client,61d4f064a45a52e6a1fcb7f72007ff95,1399603150.651276,13.141890315
direct-client,98cac0741a5d9dff217d910ff96d93eb,1399603163.9330568,13.165123725
direct-client,f8df5b422cdbc05ce9e63aedb50bc7ca,1399603180.221385,13.153001304
direct-client,459b41cf599c4b5a8650f30379333abc,1399603193.5028453,13.166187231
client,127fa1e6c7c55431ac7697f5a1687ddc,1399603209.8521712,0.048187792
gateway,127fa1e6c7c55431ac7697f5a1687ddc,1399603209.9054132,19.798761683
client,3c73e3a676cdfb0de2c478855debe9bf,1399603232.7720006,0.047798316
gateway,3c73e3a676cdfb0de2c478855debe9bf,1399603232.831826,19.786714286
client,cfcbc22017bd210e87404ea375cce05c,1399603255.690335,0.044209164
gateway,cfcbc22017bd210e87404ea375cce05c,1399603255.7393029,19.795824421
client,fe397ff81e16ca5b317bc3131589f4eb,1399603278.6161628,0.045933085
gateway,fe397ff81e16ca5b317bc3131589f4eb,1399603278.66705,19.800342879
client,056aa03f01736dcda4897c025d75c7df,1399603301.5343914,0.046510598
gateway,056aa03f01736dcda4897c025d75c7df,1399603301.5860047,19.796224888
direct-client,9a11c24a077e961b07d4c64156e4ab1a,1399603324.4773474,19.748364295
direct-client,9d6c5f266ba413a3190008f022c81533,1399603347.3532662,19.747342952
direct-client,e7ef621c47efbd96ae18da67119bb580,1399603370.2261949,19.722348847
direct-client,58f88756650b8db6641f6ed186f64b3f,1399603390.087694,19.720025547
direct-client,0856e8be777649776781f361278e338c,1399603409.952945,19.744232223
