Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
1e0274861c2a1faaf4903b4ef29c16f2,5242880,1480,1399820981.8786154,33.316296681,153.6785450382873 KB/s
b228592859378fdefc233e9e7bed85b4,5242880,1480,1399820982.0111382,46.742632044,109.53597981346914 KB/s
043b371b36354f209e57ae9f46778f4c,5242880,1480,1399820981.9909327,51.716216511,99.00182854464963 KB/s
b4c1819eff492da2b6f4d6954d706729,5242880,1480,1399820981.9536676,53.834539292,95.10622859107201 KB/s
3c09d69ec50021518d3ec9ad31ec68f4,5242880,1480,1399820982.0826046,54.013330876,94.79141384104112 KB/s
1dad9cdc225d7500856721cb439b81a5,5242880,1480,1399820982.108558,56.603248659,90.45417217737577 KB/s
23b761cb90668c72bb5c87ee426f53b2,5242880,1480,1399820982.0787108,58.340917424,87.76001862963093 KB/s
770e9133d37d47d13fc82fcecb4f4121,5242880,1480,1399820982.083354,59.007837178,86.76813529964286 KB/s
1c0341f04a5055b1430d9a0af4957864,5242880,1480,1399820982.1094284,60.43794023,84.71499823646455 KB/s
2513aa0603388198fb1b5b73d999fcd0,5242880,1480,1399820982.0890517,64.548503721,79.32019651656582 KB/s
6a37ebb52d9d447fbaf36736b7f51474,5242880,1480,1399821050.3184147,40.678360358,125.8654467618697 KB/s
e4e6fe6a34fc5772033ad58584b2ebcb,5242880,1480,1399821050.3862514,50.459507115,101.46749924313049 KB/s
976294db2159f9e240b13927cd184956,5242880,1480,1399821050.4633994,53.631732614,95.465869746365 KB/s
f2049a1d6bfa4faaa4ebc98866c07d02,5242880,1480,1399821050.4473562,54.583453169,93.80132078026608 KB/s
52208c469b0d3fbd6859618a2fdddc8b,5242880,1480,1399821050.3892906,55.644319268,92.0129865429842 KB/s
6c8144e226311f1e805fdd1956a2e303,5242880,1480,1399821050.479356,56.895894653,89.98891802697109 KB/s
51b185e8e092571e6f2d5bbda71ef99f,5242880,1480,1399821050.4352028,58.891560823,86.93945156910144 KB/s
44007e36ec2a272bcb651e293bbb2d90,5242880,1480,1399821050.4888785,60.723636921,84.31642535938678 KB/s
7310fda51b214924ede0c16dea6cc57c,5242880,1480,1399821050.3533266,61.356295975,83.44701906526717 KB/s
a06c0e6fd1ae69c3ea18c7f387783433,5242880,1480,1399821050.481171,62.652361745,81.72078206466979 KB/s
9faedc00528c89c9b395ae5c0583de3d,5242880,1480,1399821118.7695515,44.831513278,114.20537977941775 KB/s
4d2159c08625282c67f74d96ffea3de7,5242880,1480,1399821118.7695522,47.305172914,108.23340629804002 KB/s
d47cc6387ec5c94df07292e6e57d8d1f,5242880,1480,1399821118.9008026,54.043252847,94.7389309539723 KB/s
07db38128bfc2fb438fd4fd6613b5212,5242880,1480,1399821118.8493156,56.000660795,91.42749259232201 KB/s
b3c3fde3a27bed6bda7ad63a19330acd,5242880,1480,1399821118.9452076,57.357795873,89.26423901184346 KB/s
6f99062d5b2ccd77f1b3019ba1b10ae9,5242880,1480,1399821118.9452815,57.985239777,88.29833281177294 KB/s
dd0c704533ea02394950c26d7f9c6976,5242880,1480,1399821118.7890675,58.498645021,87.52339474122877 KB/s
f423e8fb8283cd6dd7981aba3b9caeda,5242880,1480,1399821118.9475467,60.271138731,84.94944857191767 KB/s
b3ad9620e1e34794d89c06a29b680a6c,5242880,1480,1399821118.9530559,61.865676705,82.75994497585768 KB/s
572fa03e614291d68edb90005f22c11c,5242880,1480,1399821118.9052653,62.360270857,82.10355615261531 KB/s
89e46f261d35cdd968156369095529fc,5242880,1480,1399821187.1804793,36.587685706,139.93779330952253 KB/s
8d7e3ee2c6e6d14469c254ba8e4343be,5242880,1480,1399821187.3058398,50.982714869,100.42619372381074 KB/s
19a84e4b1c314c642fc2f020f29eb895,5242880,1480,1399821187.2410765,51.587253128,99.24932400056437 KB/s
140fcc1c18e6343c290764f58d93f61f,5242880,1480,1399821187.3150618,52.24539433,97.99906892577569 KB/s
18a6b0c29e026566ffc82768dc417e11,5242880,1480,1399821187.361691,58.324479178,87.78475302581467 KB/s
8baf41f03a151e3570cb882c9d8d7b34,5242880,1480,1399821187.361738,58.646044019,87.30341637947882 KB/s
a488153ce5bd910594ecdff56f38c707,5242880,1480,1399821187.2290704,60.052216896,85.25913387788746 KB/s
9209899be32271b27efbabb2ce456a32,5242880,1480,1399821187.370241,61.673451066,83.01789362364073 KB/s
4b58de94e8c2ab0947b8e0aba82eba91,5242880,1480,1399821187.3947523,62.099969821,82.44770512382114 KB/s
2d8ec58abca9b982ea83107e9f784557,5242880,1480,1399821187.370404,63.689956451,80.38944105636314 KB/s
