Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
ec0fa9009d536aea8f5fabf1b9f7bb2a,5242880,1480,1399655438.5424135,5.753067479,889.9600115397847 KB/s
e8826e083a0c4b791ec87acafa8d22c6,5242880,1480,1399655445.245009,5.64843405,906.4459201749908 KB/s
3c42f810e77355573bd45861e2776293,5242880,1480,1399655451.9472253,5.759584647,888.9529911964848 KB/s
baf16380c74f36c81fb83716f7e130ca,5242880,1480,1399655458.6492424,5.57385539,918.5742438143878 KB/s
dd56a956088aea31d21eaa1c385ec16a,5242880,1480,1399655468.3572884,5.808307959,881.4959599493234 KB/s
78ddd1a674e2f5b4518f7c24085da074,10485760,1480,1399655557.6579666,11.393919898,898.7249420454018 KB/s
934bc89109c3224b436c75377f89e45f,10485760,1480,1399655570.9418395,11.549544987,886.6150148361685 KB/s
0f6ce20db940f74be1598486f884ee55,10485760,1480,1399655584.2267704,11.534421833,887.7774844945711 KB/s
9918951724d0bdffa62959f3dcda4d0c,10485760,1480,1399655597.5114539,11.543063734,887.1128355497304 KB/s
c682f28194c642449668af260d678ee3,10485760,1480,1399655610.7956784,11.707675101,874.6399188277236 KB/s
023f40d98e55018c9554e8f1f4a95840,15728640,1480,1399655743.0087278,17.317690275,886.9543083452565 KB/s
11f45b5ed0b21d5025eceb87f1889f44,15728640,1480,1399655765.8832788,17.65121609,870.1950008250111 KB/s
a3ec56d2d4bf6f9943679e5055769beb,15728640,1480,1399655785.750516,17.39780597,882.869945008359 KB/s
fd6aa9d3112da9234ca0c7d2f74da99e,15728640,1480,1399655808.6299691,17.836024826,861.1784380121159 KB/s
222642d766917c804558a1482daec25e,15728640,1480,1399655831.505199,17.836967914,861.1329052144641 KB/s
f748f2aac299d411a764097ae6e7a19e,20971520,1480,1399656003.7149785,22.968425251,891.6588654291108 KB/s
8ef39207e14e1bf12ece8227b4ab8aa1,20971520,1480,1399656033.1558263,23.216187005,882.1431355454401 KB/s
886b7e8be1be5ffff9bc8c617054a855,20971520,1480,1399656059.6013305,23.198960666,882.7981690582862 KB/s
3ea3142d1d4dc2ba4ebd0eb4b4bedc79,20971520,1480,1399656089.050566,23.330996727,877.8021890637591 KB/s
3fb72effd2ca6a80a9c902e178877674,20971520,1480,1399656115.4957259,23.326313394,877.9784295133354 KB/s
a5b43438d668fa77dcd49f97162ffc3d,26214400,1480,1399656324.5413373,28.984348033,883.235323107949 KB/s
c88740376f2d2a92435d84f5d9a25635,26214400,1480,1399656360.5773826,29.998071836,853.3881824123785 KB/s
328cf04218f50f3f9884c4aea7e30d71,26214400,1480,1399656393.6058168,29.091666133,879.9771000726822 KB/s
52445e33f7ccd3b94d0ce566cbe75a72,26214400,1480,1399656429.639024,29.002467194,882.683525810387 KB/s
eb4380eead1da7f1769f9d2692ae2f80,26214400,1480,1399656462.6602416,29.163343633,877.8142973644534 KB/s
248f7defd55610dde5a8e19f2bcceae6,31457280,1480,1399656711.240593,35.937997847,854.8055495686 KB/s
7ab1c5081ac7502a84ab1ebf3ab8b585,31457280,1480,1399656753.8574123,36.098706486,851.000021618891 KB/s
9f5bc1d1365c692999b6b7154d28864d,31457280,1480,1399656793.4662955,35.781497599,858.5442773881701 KB/s
0e01aace946df2e593f52a1621dc601f,31457280,1480,1399656833.0679097,35.895500967,855.8175585358728 KB/s
b566157fbd1268a508932f10afecb5fd,31457280,1480,1399656875.6809285,34.69401253,885.4553786027586 KB/s
0a7a2ee8bd950dfccdb6f1d715e00822,36700160,1480,1399657166.750273,41.013004771,873.8691593097369 KB/s
28785702f0301adbf1350112e893d208,36700160,1480,1399657215.941062,41.601848909,861.5001722254344 KB/s
8cd389d95d44c6eb027780a8596b9e22,36700160,1480,1399657265.1397784,40.973718008,874.7070498460097 KB/s
cb4bd6e1c2f4c72fef57a683c6fcf167,36700160,1480,1399657314.3246124,42.426991649,844.7452578421205 KB/s
6d6929e52c2121295c1978c3559fe656,36700160,1480,1399657360.5157793,40.847610427,877.4075062248928 KB/s
1ef081b2010d2b3e9eddc50cdb148f62,41943040,1480,1399657689.0624447,48.707518207,840.937939517383 KB/s
398fda45c49a2b0b72c60c890d4f153a,41943040,1480,1399657741.8223257,48.168152373,850.3543935590017 KB/s
69fbf1caa8c65826946f0e706e66b2cc,41943040,1480,1399657794.5804029,48.903785716,837.5629698254422 KB/s
9642ee8e1870a3771f38c777e22df811,41943040,1480,1399657847.3450541,47.700007849,858.7000683451397 KB/s
6b486267b38cfdbb11848b247976d246,41943040,1480,1399657903.1190872,48.004427558,853.2546284509118 KB/s
7c111124ba7bbba1f903f71dcc4c7629,47185920,1480,1399658272.2954528,55.241983798,834.1481755705576 KB/s
3eacc054b59c2219ea6d37343df0bb4f,47185920,1480,1399658331.6501422,55.451692881,830.9935658571909 KB/s
b058927f644b64d332d61c661d582202,47185920,1480,1399658391.0039506,55.606600745,828.6785989906674 KB/s
ba923c575f591345273c9a14dcd63cb2,47185920,1480,1399658450.347201,55.305490225,833.1903363035419 KB/s
61d5c66b2efa37203b8675325b9dd2bb,47185920,1480,1399658509.6990712,54.905503809,839.2601251834185 KB/s
8d1937dc476d3a8e655d226972f6580f,52428800,1480,1399658918.4254348,62.204035417,823.0977243963073 KB/s
a4ddb35eb18fe7dff2cd8d6bf8bbd772,52428800,1480,1399658984.3523846,62.050711686,825.1315514170298 KB/s
b0541b49b86946626cdc100b783626cf,52428800,1480,1399659050.28966,61.205891137,836.5207833572205 KB/s
101dee295cfded5670b2ca690df45e08,52428800,1480,1399659116.2186081,61.037909028,838.8229678135428 KB/s
c21f1c107349caa753668337019166aa,52428800,1480,1399659182.141975,61.83019679,828.0743497209885 KB/s
3b2a1f7fb7502326f9681701c1763ead,57671680,1480,1399659630.7871807,68.783815686,818.7972626744399 KB/s
609c7bc40a5398af56fe9d186f726dfb,57671680,1480,1399659703.3035,67.674137709,832.2233855742206 KB/s
7e7eec9a0fa8b3a495239edb6217480b,57671680,1480,1399659775.8149443,67.589465854,833.2659429748539 KB/s
d83dde38b6dcc8aa680b548d73832e4f,57671680,1480,1399659848.3402824,67.604778143,833.0772106206748 KB/s
f96967a5d49da3cfad207bb04db3b1ad,57671680,1480,1399659920.8576348,67.929604867,829.0935904937097 KB/s
4f339c15273e08723100133ba2a3127b,62914560,1480,1399660409.050454,74.78888965,821.5123969285992 KB/s
d2346564121991d516ea18fbeecd8045,62914560,1480,1399660488.1399033,74.715646731,822.3177164109073 KB/s
4591b117e6719cbee15a2fa6a9b4beab,62914560,1480,1399660567.2337813,74.716324851,822.3102531143526 KB/s
a3a28e6ea97d8868d90a62a834801d2f,62914560,1480,1399660646.3097556,74.031777785,829.9138807449888 KB/s
3935026b8717b9d760c085072b731d60,62914560,1480,1399660725.3894742,74.266950971,827.2858814951389 KB/s
b4875bda20e01782b9fa61fb833e96aa,68157440,1480,1399661255.5056133,80.531071617,826.5132782108575 KB/s
ebcd3fd4557e3755d2f1d32c1df8f69b,68157440,1480,1399661341.1843925,81.846262473,813.2320033789846 KB/s
dea66f57496b711cf8dc31129e9832e3,68157440,1480,1399661426.8613129,80.954895996,822.1862208715424 KB/s
85b085dcb10055a0dc8aab09f5404c5c,68157440,1480,1399661512.523032,80.539680186,826.4249354639225 KB/s
f1d2e1cf48ab7bd0ff0120ec2d46a1da,68157440,1480,1399661598.1912708,81.946514842,812.2371052427728 KB/s
723088e879bffc2a43d0ecc270cf8bb3,73400320,1480,1399662166.7506137,88.338645767,811.4228985246336 KB/s
c39cd85eb5826acb9269241dd13e4aae,73400320,1480,1399662258.9957078,87.497518762,819.2232307178348 KB/s
11915041d71e55a4af3098f93bcab844,73400320,1480,1399662351.2483869,87.184895287,822.1607626417381 KB/s
92571c131c16b34f64f29d0adf27f0e2,73400320,1480,1399662443.5043633,87.165056911,822.3478827437579 KB/s
4e9be9f31462dfbd38c993d5d9e34fc7,73400320,1480,1399662535.7443526,87.393537066,820.1979506318293 KB/s
2c6d63d7b32b4a6129a7a16b9a9aaf44,78643200,1480,1399663144.8221786,94.567188056,812.1210070719372 KB/s
c4a70548578993c3949f7d294ee00818,78643200,1480,1399663243.6510262,94.820549837,809.9510088479977 KB/s
