FromWho,Token,StartTime,ElapsedTime
client,a15a07e365e2ac010d3a70f29d7f63f5,1399568965.000079,0.014962394
gateway,a15a07e365e2ac010d3a70f29d7f63f5,1399568965.0205274,13.168154764
client,b593831d1fe8b9b4b13e3c261e6987ee,1399568981.2960558,0.014577932
gateway,b593831d1fe8b9b4b13e3c261e6987ee,1399568981.320288,13.177991819
client,43c2b585e255cb4fa56ce4f90626e1e3,1399568997.4782379,0.013390311
gateway,43c2b585e255cb4fa56ce4f90626e1e3,1399568997.499571,13.147226433
client,0ccbd5e9549eea9c973930a8a1d74509,1399569013.4282281,0.014167155
gateway,0ccbd5e9549eea9c973930a8a1d74509,1399569013.455813,13.169928676
client,8f9cc3905fc3092ae331e57cdafd55f5,1399569029.566706,0.013425466
gateway,8f9cc3905fc3092ae331e57cdafd55f5,1399569029.5905223,13.172888126
direct-client,e821b8e2276262d37ceede4ba7a6c455,1399569045.5935867,13.129002688
direct-client,7e9010681bd8aa77ba86f3ada43c162e,1399569058.873902,13.162251608
direct-client,537f5218f8c3d3711f073d37e7a1517f,1399569075.1109989,13.162000101
direct-client,f894f55258bd26fe54c54cd42fa368dd,1399569091.3006246,13.161619248
direct-client,64498e74909b49de95a735e65d9f0a61,1399569104.580258,13.162104484
client,dfd80298739356ce015fa0514d3138e8,1399569117.9041915,0.035535684
gateway,dfd80298739356ce015fa0514d3138e8,1399569117.9469564,26.37258947
client,71034d4f11b6bbdff4c06a947f36fc19,1399569147.4462569,0.028981091
gateway,71034d4f11b6bbdff4c06a947f36fc19,1399569147.4801133,26.36389545
client,3cfcb4a4cb626490a99dba2acf03cbe6,1399569176.9463081,0.029760625
gateway,3cfcb4a4cb626490a99dba2acf03cbe6,1399569176.986501,26.312207159
client,978174f607f9b61a856837a04a81849f,1399569203.4342256,0.030597289
gateway,978174f607f9b61a856837a04a81849f,1399569203.4688969,26.319524453
client,a817b5f1eebb2d3ee2ba31669f87bab5,1399569229.9192066,0.027199259
gateway,a817b5f1eebb2d3ee2ba31669f87bab5,1399569229.9512615,26.363564155
direct-client,6294d81155b2b6fd4a84d2cbbfbcd4c9,1399569259.4421985,26.315265535
direct-client,7ee096f84855340b98ae963caec5a913,1399569285.884168,26.320110877
direct-client,36ee5a6d71d9c9af81a7c1a20a1ccf50,1399569312.326768,26.326272913
direct-client,0b8479cd665b551a415594919496cbb2,1399569341.7782567,26.29849836
direct-client,d5be456150865445cd247092b2f3a03b,1399569368.2214222,26.283625465
client,e4cc9ef608f93740047231b37bdab4f8,1399569394.7282555,0.047216249
gateway,e4cc9ef608f93740047231b37bdab4f8,1399569394.7853813,39.541696083
client,f90da10592d5013bb95cd48588bdc794,1399569435.1542175,0.045803146
gateway,f90da10592d5013bb95cd48588bdc794,1399569435.2103038,39.50013486
client,add0944b3021f52f7dc2a179519bd249,1399569475.6030915,0.045412351
gateway,add0944b3021f52f7dc2a179519bd249,1399569475.657562,39.481599358
client,d03750bf61ad20bbc795a6c2e02e638e,1399569515.8721805,0.045817964
gateway,d03750bf61ad20bbc795a6c2e02e638e,1399569515.9260304,39.53573303
client,bf2e2da9a712a4a17557ef2c1e360fd6,1399569556.1867163,0.045583228
gateway,bf2e2da9a712a4a17557ef2c1e360fd6,1399569556.2398722,39.533502951
direct-client,588d0d1cd2ff0b16f786838dbbcaa2b2,1399569596.4551744,39.485137802
direct-client,a8c37fc09787bcb372f3770df4d715ef,1399569639.0652611,39.484943585
direct-client,4e373b7448f17e408974d80be7286b2a,1399569681.675352,39.487806272
direct-client,73134cead0453b261d60c5b7814b4c74,1399569724.2895846,39.486841607
direct-client,c0f4a73862451e1cf7ace69176189c7a,1399569766.901258,39.484641507
client,003bb45527cf63bbc93613a11982f582,1399569809.60391,0.064012793
gateway,003bb45527cf63bbc93613a11982f582,1399569809.6835601,52.707453681
client,8d4c6ba661c89f014a777516973c7f02,1399569865.4520574,0.062439384
gateway,8d4c6ba661c89f014a777516973c7f02,1399569865.5189729,52.708096309
client,088d44fbff64355b6307ae8e7b5c09ab,1399569921.3021722,0.060763878
gateway,088d44fbff64355b6307ae8e7b5c09ab,1399569921.370912,52.703340887
client,fa73a87b5cf4c0d07b92d617440d1b4e,1399569977.182702,0.060596394
gateway,fa73a87b5cf4c0d07b92d617440d1b4e,1399569977.2478814,52.715078963
client,3bc67baaa157a3a009b5298ebf595eb3,1399570033.0266163,0.063082242
gateway,3bc67baaa157a3a009b5298ebf595eb3,1399570033.097934,52.680728472
direct-client,90f211dd4b56c8e61c0f7999d8b6b433,1399570088.880617,52.644012643
direct-client,6607eb43ef6142a560b3a41231173dfe,1399570144.65063,52.645552162
direct-client,08af4336cde8e2a7769c48b627ab4bee,1399570200.4208353,52.621821126
direct-client,6210e85cc25a7fe02cbb2f394f5cb53f,1399570253.18216,52.642562028
direct-client,d7b2f089eb5f824d46532227d015db75,1399570308.9488096,52.628998895
client,c10192f595fbc7b23e17efda6db0cc86,1399570361.808065,0.081845906
gateway,c10192f595fbc7b23e17efda6db0cc86,1399570361.903612,65.830448951
client,c7402609c859b39a5d54272e457e6203,1399570428.758116,0.076318334
gateway,c7402609c859b39a5d54272e457e6203,1399570428.8435967,65.871410378
client,1aea6c3f6347ace44f9f5c5c77ece565,1399570497.7721438,0.077650864
gateway,1aea6c3f6347ace44f9f5c5c77ece565,1399570497.8577735,65.878759996
client,d7afdb3ae92092b7e21821924371b089,1399570566.7920763,0.078910547
gateway,d7afdb3ae92092b7e21821924371b089,1399570566.8795009,65.894476711
