Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
b6de2f0cc4257b404d886487056807c5,5242880,4096,1399317202.6627014,5.700701177,898.1351312812375 KB/s
6ec8e8f9e80436eb08d9275de973a48f,5242880,4096,1399317218.717113,5.546540688,923.0978889377255 KB/s
099b475eb155dc3b36ad302e4a5ead03,5242880,4096,1399317234.6669176,5.851007347,875.0629928067325 KB/s
2510af2aa6ec60df554e7311ba3edb4d,5242880,4096,1399317250.850869,5.700255036,898.2054254879132 KB/s
4cf164e8995d560e0432482d7d23de0f,5242880,4096,1399317266.5807185,5.576319555,918.1683276040302 KB/s
11fc48bd3694f01b7b03ebbffb016048,5242880,4096,1399317282.5111532,5.899106519,867.9280469863304 KB/s
6e7608f76d72f728f1de60cfb475d4e1,5242880,4096,1399317298.7508247,5.582289383,917.1864173849835 KB/s
914aef63b0427fd2f27f94ccaf55b3bd,5242880,4096,1399317314.8383057,5.747560521,890.8127163329439 KB/s
7104c101429e16ef24ba81a953ef6f35,5242880,4096,1399317330.8558226,5.552607641,922.0892832755442 KB/s
b87a32dca3f6eeb5c0476a2912413abf,5242880,4096,1399317346.8172896,5.569061045,919.3650345414736 KB/s
14f44b0abbbb56b16e77580945d0dbbf,10485760,4096,1399317498.5768821,11.77883767,869.3557282040376 KB/s
a348eb7f67b8b4e65cb90aa9b894e302,10485760,4096,1399317528.0915499,11.800584673,867.7536142280601 KB/s
12fe5dd9103f5b19f5d83f80c62fcf3c,10485760,4096,1399317557.6205058,11.391214748,898.9383684297477 KB/s
d9bd376e697b80571556677015595d17,10485760,4096,1399317584.1110349,11.542272018,887.1736850449265 KB/s
0b6815f68ee559def8086af507f936a3,10485760,4096,1399317613.6154945,11.797985403,867.9447931335943 KB/s
a20aae77a13affcc6c50bd6608d9b750,10485760,4096,1399317640.1055927,11.419246261,896.7316901617697 KB/s
21f335d4907f0579b671d6acdcefe9e7,10485760,4096,1399317669.121079,11.51727059,889.0995414218188 KB/s
a02b8607207fab842986948a75a381dc,10485760,4096,1399317698.3747437,11.697670669,875.3879545555191 KB/s
505b85fba0f8e5c0176c429f318146c0,10485760,4096,1399317727.8856866,11.980253508,854.7398427889761 KB/s
e4ee8fab4912d72cd434917e0d211f35,10485760,4096,1399317757.2559683,11.883726152,861.6825959319699 KB/s
2ad7d06615e44d8d76171f861d031e89,15728640,4096,1399318069.2199829,17.905807934,857.8222248678343 KB/s
f6c209b9bf993fab24fb362fe3beb5c4,15728640,4096,1399318109.47095,17.675821459,868.98365858856 KB/s
b391e8dd5cea45c099e4959a160cda77,15728640,4096,1399318149.9073613,17.943535148,856.0186091151629 KB/s
ac1138d856136327a60b3fa642251447,15728640,4096,1399318190.3754532,17.761346468,864.7993004175431 KB/s
34d434ecca171f7b3bb46e7d20e5bcc2,15728640,4096,1399318230.636326,17.575528502,873.9424250173822 KB/s
946ca5cbd24f8bf4b60035a1734a281f,15728640,4096,1399318270.6124096,17.995272493,853.5575110615804 KB/s
b882fd92b4e394468c796f6d6c5218db,15728640,4096,1399318311.3770766,17.344780733,885.5689925659436 KB/s
9fb26273ce3c1dd702de6585e6919be2,15728640,4096,1399318351.6250114,17.591606028,873.1437013511999 KB/s
b41c041cbf97d53f08ec7b6e709c291d,15728640,4096,1399318392.22357,17.376196782,883.967889677183 KB/s
06c3bfcef75050e75ba6e25f525668d3,15728640,4096,1399318432.7633393,17.555211986,874.9538320727402 KB/s
8a7b034754e3fb6601dc6a882314bd40,20971520,4096,1399318881.0139349,22.943924361,892.6110319127372 KB/s
