Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
Token,FileSize,ChunkSize,StartTime,ElapsedTime,UploadRate
c1a10eed8fe0fbb2ff500829b924d5dd,5242880,1480,1399977190.7450619,0.439188021,11657.877162365 KB/s
26d7d3314c1d66027dcf0678802938c5,5242880,1480,1399977190.7368162,0.463859713,11037.819962606 KB/s
acde8534326c1ec24171251b6d070547,5242880,1480,1399977190.9370854,0.47759828,10720.30661417 KB/s
5ae677f468e396b25111b932f4da3648,5242880,1480,1399977190.8539708,0.651942323,7853.455465876 KB/s
1b3e632c4e0b61584ecaa53ae7af1e8a,5242880,1480,1399977190.9265769,0.845933439,6052.485649524 KB/s
c16efe37dfb8c0a2cc5d04b26c944f82,5242880,1480,1399977191.0366259,0.767664986,6669.576043423 KB/s
41e7216e18d56669e39164f11534508e,5242880,1480,1399977191.0571074,0.763869953,6702.711606723 KB/s
050961d4e39b3752e49ecda5cea8f335,5242880,1480,1399977190.949071,0.888289258,5763.888231101 KB/s
fb70af576798400e1beea6afb586a043,5242880,1480,1399977190.9971757,0.918720771,5572.966413317 KB/s
1c374923e84b2b5c1b8b934e45d575fb,5242880,1480,1399977191.2099128,0.731847381,6995.994155235 KB/s
0b42072e803be5a7e1565b61509b2d42,5242880,1480,1399977191.0690837,0.897273328,5706.176524173 KB/s
033bb94a619dba5d8cadc19b9bcf638b,5242880,1480,1399977191.1708221,0.875471672,5848.276036509 KB/s
482a6634ba6c62fe49954291495b91c7,5242880,1480,1399977191.136082,0.91317495,5606.811706782 KB/s
eb3cacb2caa4f37bc490a5543c08a0ee,5242880,1480,1399977191.2525928,0.815209048,6280.597611816 KB/s
b4ececcc7a16720721fe4de9b98bb567,5242880,1480,1399977191.1221998,0.952160429,5377.245098683 KB/s
7945d9f21069f27147eb1973ee76dbdc,5242880,1480,1399977191.233346,0.849467599,6027.304638844 KB/s
7dfcd42a43924fac7c1edc19b9161028,5242880,1480,1399977191.2062697,0.884760209,5786.878690879 KB/s
0bc73a1744e97886434734817a6942ca,5242880,1480,1399977191.1649196,0.956626156,5352.143016253 KB/s
ae3829d85bfaf494d9c00a4d9e3ae50b,5242880,1480,1399977191.2226827,0.979156086,5228.992673595 KB/s
8b4ac58f472223421ddbf2067c366c5c,5242880,1480,1399977191.1195996,1.101608677,4647.74843090674 KB/s
0adc42e1ea23d7ada9a635e350b81070,5242880,1480,1399977193.1611283,0.478851704,10692.245547486 KB/s
4543e17cba6c59ad90298ed70b7ce2bd,5242880,1480,1399977193.2291048,0.429889556,11910.035795333 KB/s
5e76a78a3436c183e674835414c1167a,5242880,1480,1399977193.341297,0.329152991,15555.07663608 KB/s
27c0fc565f0e095ac87efec1fd0157fb,5242880,1480,1399977193.3816943,0.391288895,13084.961176831 KB/s
db4f513137edfc4949db3bf398522608,5242880,1480,1399977193.4555643,0.426443367,12006.283591697 KB/s
500bacda0e29a41a09a77f06b839165a,5242880,1480,1399977193.3411193,0.54140036,9456.957139814 KB/s
88c0417f250e6a4529a42dd47766c5c2,5242880,1480,1399977193.303092,0.617977165,8285.095776961 KB/s
2fc687d2b1bf386650b46bbd56e79f56,5242880,1480,1399977193.4674597,0.487021984,10512.872453823 KB/s
ce8cda8762935110f4829060016b0fd3,5242880,1480,1399977193.3011248,0.682491562,7501.924250896 KB/s
9f41739906cd868be258d650cf5f801d,5242880,1480,1399977193.5828555,0.516685098,9909.323918609 KB/s
5036d964fb5748736498c6084505b946,5242880,1480,1399977193.488536,0.700554138,7308.50011766 KB/s
eb556d1b9b9cc8897b82b10a0a3c249d,5242880,1480,1399977193.5339959,0.672731869,7610.758811844 KB/s
0663a79620bd4b4fe9d666f63fe0d81c,5242880,1480,1399977193.5926452,0.673961228,7596.876181132 KB/s
49ac5ae196fe176bd16342fa24050175,5242880,1480,1399977193.682027,0.614631245,8330.19805233 KB/s
43c2e73262acbea124e656c0d5580060,5242880,1480,1399977193.5085394,0.839546715,6098.529013957 KB/s
97412c3fb9da5092b0c11dda33ef1284,5242880,1480,1399977193.5881827,0.768237086,6664.609263604 KB/s
187d40a22643c1fd192c4db8945cd73e,5242880,1480,1399977193.6904473,0.670407022,7637.15150943 KB/s
6aabdc37362cd341d78c1dd3013c47df,5242880,1480,1399977193.6610014,0.701478649,7298.86790895 KB/s
30441422604fb55496c7f7e4a409b451,5242880,1480,1399977193.6951146,0.695031353,7366.574152231 KB/s
2f7607f174c3193dd878e6ed2980f952,5242880,1480,1399977193.6135042,0.792283062,6462.336815677 KB/s
46b47465f69b9cf8a60afc2f1688dc2c,5242880,1480,1399977197.381135,0.435181152,11765.215419991 KB/s
e7a7d30d0b596227fde39cf39311f6de,5242880,1480,1399977197.5130959,0.444571915,11516.696910555 KB/s
61b5e0a8936759b298c8ee9ca1bb997a,5242880,1480,1399977197.585139,0.420309781,12181.491441428 KB/s
4a9395fad6208102d228cd8ffc661ae6,5242880,1480,1399977197.4539888,0.587244285,8718.688509672 KB/s
39176148f26e9f3de783c71aa3f26ce6,5242880,1480,1399977197.4799001,0.603908771,8478.10173633 KB/s
e3d495f9cc320740db8b8a5f5ca3c568,5242880,1480,1399977197.677082,0.472515601,10835.621065557 KB/s
1115dc5c09a6a05d2e17f7f52dae43ec,5242880,1480,1399977197.7683258,0.405092241,12639.096684155 KB/s
